series,version,file,title,src_start,src_end,sha256
13.0,13.0.0-alpha,EAODS-v13.0.0-alpha-enterprise-operating-model-capability-framework-volume-1-ent.md,"EAODS v13.0-alpha — Enterprise Operating Model & Capability Framework, Volume 1: Enterprise Capability Architecture, Business Capability Map & Federated Operating Model",43915,44392,947ce5240a7935e02e57a65b85f38d4ce18d1b4a37e19e5e4ebc724664de982b
13.0,13.0.1-alpha,EAODS-v13.0.1-alpha-enterprise-operating-model-capability-framework-volume-2-ent.md,"EAODS v13.0-alpha — Enterprise Operating Model & Capability Framework, Volume 2: Enterprise Portfolio Governance, Investment Management, Strategic Roadmapping & Value Stream Management",44393,44910,db23315b0e2a7ccbafbeffea488638f0c3ee768df5b4f0ed1ceddb9605419382
13.0,13.0.2-alpha,EAODS-v13.0.2-alpha-enterprise-operating-model-capability-framework-volume-3-ent.md,"EAODS v13.0-alpha — Enterprise Operating Model & Capability Framework, Volume 3: Enterprise Organizational Design, Decision Rights, Federated Governance & Executive Accountability Architecture",44911,45392,2ab6ded6f465c702a02a680bca0d3d9c000d39f1a025dddda2aa1d4912efb6ae
13.0,13.0.3-alpha,EAODS-v13.0.3-alpha-enterprise-operating-model-capability-framework-volume-4-ent.md,"EAODS v13.0-alpha — Enterprise Operating Model & Capability Framework, Volume 4: Enterprise Engineering System, Architecture Lifecycle, Technical Standards & Design Authority",45393,45894,d1c0a584137332ea1ff3ccf562efdc3cdfbb9361024bee92e9b6400eac883b95
13.0,13.0.4-alpha,EAODS-v13.0.4-alpha-enterprise-operating-model-capability-framework-volume-5-ent.md,"EAODS v13.0-alpha — Enterprise Operating Model & Capability Framework, Volume 5: Enterprise Architecture Repository, Digital Twin Governance, Configuration Management Database (CMDB) & Enterprise Knowledge Federation",45895,46445,ab09df1a1acea2d81d239d139b434747f8bbce14d48fa7cbbed2538e618ee07f
13.0,13.0.5-alpha,EAODS-v13.0.5-alpha-enterprise-operating-model-capability-framework-volume-6-ent.md,"EAODS v13.0-alpha — Enterprise Operating Model & Capability Framework, Volume 6: Enterprise Observability, Operational Intelligence, Telemetry Fabric & Decision Intelligence Architecture",46450,46932,484437d71a51e499a21f2f40db9a0ebfaca11aae17d38674358d94200c50c5b5
14.0,14.0.0-alpha,EAODS-v14.0.0-alpha-autonomous-enterprise-framework-volume-1-enterprise-agent-ec.md,"EAODS v14.0-alpha — Autonomous Enterprise Framework, Volume 1: Enterprise Agent Ecosystem, Autonomous Workforce Architecture & Human–AI Collaboration Framework",46937,47395,fdaa1fc3dfaca3d9080686104110fd6ddf80420fc6840e68bb066756ebb451c8
14.0,14.0.1-alpha,EAODS-v14.0.1-alpha-autonomous-enterprise-framework-volume-2-enterprise-mission.md,"EAODS v14.0-alpha — Autonomous Enterprise Framework, Volume 2: Enterprise Mission Operating System (EMOS), Multi-Agent Orchestration, Mission Planning & Adaptive Execution",47396,47922,4a10e9492e71a24d4ce1d97fadbdc8cfc3c85d9556ee7bd7265e39196095f526
14.0,14.0.2-alpha,EAODS-v14.0.2-alpha-autonomous-enterprise-framework-volume-3-enterprise-cognitiv.md,"EAODS v14.0-alpha — Autonomous Enterprise Framework, Volume 3: Enterprise Cognitive Architecture, Shared Memory, Context Engineering & Knowledge Reasoning Framework",47923,48457,51719632896bc4332496f624a498a337e0b2d0ed939a121f48282b6b85281700
14.0,14.0.3-alpha,EAODS-v14.0.3-alpha-autonomous-enterprise-framework-volume-4-enterprise-trust-fa.md,"EAODS v14.0-alpha — Autonomous Enterprise Framework, Volume 4: Enterprise Trust Fabric, Identity Federation, Agent Identity, Authorization & Cryptographic Trust Architecture",48462,48992,c5dedeb07301088d165128bab1e04add7f3298a2c5f98de7ffa8a4b06bb83792
14.0,14.0.4-alpha,EAODS-v14.0.4-alpha-autonomous-enterprise-framework-volume-5-enterprise-policy-i.md,"EAODS v14.0-alpha — Autonomous Enterprise Framework, Volume 5: Enterprise Policy Intelligence, Adaptive Governance & Autonomous Decision Control Framework",48997,49518,8bc6ac90ec136b64e60cca78ba3daab178dd06582a6745995b103f4b11c68483
14.0,14.0.5-alpha,EAODS-v14.0.5-alpha-autonomous-enterprise-framework-volume-6-enterprise-autonomo.md,"EAODS v14.0-alpha — Autonomous Enterprise Framework, Volume 6: Enterprise Autonomous Assurance, Verification, Validation, Simulation & Certification Framework",49519,50022,71bb3f73c158e144749aba5e79621c8c451e99937f653c6107d14285a9855e51
15.0,15.0.0-alpha,EAODS-v15.0.0-alpha-enterprise-intelligence-adaptive-organization-framework-volu.md,"EAODS v15.0-alpha — Enterprise Intelligence & Adaptive Organization Framework, Volume 1: Enterprise Strategic Intelligence, Adaptive Planning & Executive Decision Optimization",50023,50535,6209fa712ad53fe66b182e981086e2a396e549daba367dc77c01176090850886
15.0,15.0.1-alpha,EAODS-v15.0.1-alpha-enterprise-intelligence-adaptive-organization-framework-volu.md,"EAODS v15.0-alpha — Enterprise Intelligence & Adaptive Organization Framework, Volume 2: Enterprise Scenario Intelligence, Strategic Wargaming, Digital Twin Simulation & Decision Laboratory",50536,51005,07aa97c9da542eb1119cfeef49ac34bc0a05f68db835e4af92d96fbc41d3aa1d
15.0,15.0.2-alpha,EAODS-v15.0.2-alpha-enterprise-intelligence-adaptive-organization-framework-volu.md,"EAODS v15.0-alpha — Enterprise Intelligence & Adaptive Organization Framework, Volume 3: Enterprise Risk Intelligence, Adaptive Risk Governance & Predictive Resilience Architecture",51006,51513,7611618fd18cd1678997f9bf4767fa8ef916c2e523affbac900ecf149d7bd34a
15.0,15.0.3-alpha,EAODS-v15.0.3-alpha-enterprise-intelligence-adaptive-organization-framework-volu.md,"EAODS v15.0-alpha — Enterprise Intelligence & Adaptive Organization Framework, Volume 4: Enterprise Capability Intelligence, Organizational Maturity Modeling & Adaptive Transformation Architecture",51514,52012,0017da497bb6b470cf3c733862b47e5b606d0bafc6df6c2046ecac2965d280f7
15.0,15.0.4-alpha,EAODS-v15.0.4-alpha-enterprise-intelligence-adaptive-organization-framework-volu.md,"EAODS v15.0-alpha — Enterprise Intelligence & Adaptive Organization Framework, Volume 5: Enterprise Value Intelligence, Benefits Realization & Adaptive Investment Optimization",52013,52486,6357ff7c5faf33e7b8e22bebb0e22b26662f29ad3ec4677a93e7e64c2bf7b8b8
15.0,15.0.5-alpha,EAODS-v15.0.5-alpha-enterprise-intelligence-adaptive-organization-framework-volu.md,"EAODS v15.0-alpha — Enterprise Intelligence & Adaptive Organization Framework, Volume 6: Enterprise Performance Intelligence, Adaptive Operating Model & Organizational Learning Framework",52487,52967,a6b3b2dd7aaf8c742f31ee8ada1f71029fddad17bb466dc76361de5839f6ef88
16.0,16.0.0-alpha,EAODS-v16.0.0-alpha-enterprise-digital-governance-sovereign-ai-framework-volume.md,"EAODS v16.0-alpha — Enterprise Digital Governance & Sovereign AI Framework, Volume 1: Enterprise Digital Constitution, Sovereign AI Governance & Enterprise Operating Charter",52968,53466,0dbb0ad6cc52425feda5b2defa58a2c1cf2dd7cacad654be1dd8b801978a38b6
16.0,16.0.1-alpha,EAODS-v16.0.1-alpha-enterprise-digital-governance-sovereign-ai-framework-volume.md,"EAODS v16.0-alpha — Enterprise Digital Governance & Sovereign AI Framework, Volume 2: Enterprise Governance Operating System (EGOS), Board Governance, Constitutional Compliance & Executive Decision Governance",53467,53934,bd281e5063f598df6aa710c5bdfb0bd881c808172ff3a0bf449a1d15052f9266
16.0,16.0.2-alpha,EAODS-v16.0.2-alpha-enterprise-digital-governance-sovereign-ai-framework-volume.md,"EAODS v16.0-alpha — Enterprise Digital Governance & Sovereign AI Framework, Volume 3: Enterprise Regulatory Intelligence, Compliance Orchestration & Sovereign Control Framework",53935,54415,21d8bd62ef488b0dcfed896b4346aace59631fcbb8da59c24ff5cd4d78a7bcb5
16.0,16.0.3-alpha,EAODS-v16.0.3-alpha-enterprise-digital-governance-sovereign-ai-framework-volume.md,"EAODS v16.0-alpha — Enterprise Digital Governance & Sovereign AI Framework, Volume 4: Enterprise Sovereign Data Governance, Information Stewardship & Knowledge Authority Framework",54416,54919,6fd427f084e84bb7ca51124aa3b8f79b654598cc343f5ddee944b9101be6391c
16.0,16.0.4-alpha,EAODS-v16.0.4-alpha-enterprise-digital-governance-sovereign-ai-framework-volume.md,"EAODS v16.0-alpha — Enterprise Digital Governance & Sovereign AI Framework, Volume 5: Enterprise Identity Sovereignty, Human–AI Authority Delegation & Constitutional Trust Framework",54920,55382,6d45315641dda5cfe5c9a8c4feafff01303275fc1c42d0181d05b5329e4dbe08
16.0,16.0.5-alpha,EAODS-v16.0.5-alpha-enterprise-digital-governance-sovereign-ai-framework-volume.md,"EAODS v16.0-alpha — Enterprise Digital Governance & Sovereign AI Framework, Volume 6: Enterprise Sovereign Autonomy, Constitutional Mission Governance & Human Oversight Framework",55383,55865,1d5002f6598e8ee6567117e79d126ccc5560defbae19d35bb3d1e5b81fe230c9
