series,version,file,title,src_start,src_end,sha256
17.0,17.0.10-alpha,EAODS-v17.0.10-alpha-enterprise-cyber-defense-digital-resilience-framework-volume.md,"EAODS v17.0-alpha — Enterprise Cyber Defense & Digital Resilience Framework, Volume 11: Enterprise Security Validation, Adversary Simulation & Continuous Control Assurance Framework",60896,61383,31769ca2b4a57d5187ed810ca74a0a825b65406877f1fc88e89d9fe3c153be4b
17.0,17.0.11-alpha,EAODS-v17.0.11-alpha-enterprise-cyber-defense-digital-resilience-framework-volume.md,"EAODS v17.0-alpha — Enterprise Cyber Defense & Digital Resilience Framework, Volume 12: Enterprise Security Operations Intelligence, Executive Cyber Command & Strategic Decision Support Framework",61384,61866,43f30e5ead1433e9a97afaeead4f3d9ad0516de953989f09c2c3749e493925f2
17.0,17.0.12-alpha,EAODS-v17.0.12-alpha-enterprise-cyber-defense-digital-resilience-framework-volume.md,"EAODS v17.0-alpha — Enterprise Cyber Defense & Digital Resilience Framework, Volume 13: Enterprise Cyber Risk Quantification, Board Governance & Strategic Assurance Framework",61867,62361,9260a62f6562aded40bbd45d34727123afcf406f7516ea3b0dd8b2ed998091df
17.0,17.0.13-alpha,EAODS-v17.0.13-alpha-enterprise-cyber-defense-digital-resilience-framework-volume.md,"EAODS v17.0-alpha — Enterprise Cyber Defense & Digital Resilience Framework, Volume 14: Enterprise Cyber Capability Maturity, Operational Excellence & Continuous Improvement Framework",62362,62858,6139c04321da0415211314772946257e25cdb811981a00aab6e30c3a8b47c8ae
17.1,17.1.0-alpha,EAODS-v17.1.0-alpha-enterprise-reference-architecture-capability-integration.md,"EAODS v17.1 — Enterprise Cyber Defense & Digital Resilience Framework: Domain 03 Enterprise Reference Architecture, Traceability Matrix & Implementation Blueprint (Part I — Enterprise Reference Architecture & Capability Integration)",62859,63258,f94724d45498cf12b271ce3a4ddec449dab2077cb051662a003e57026f15761e
17.1,17.1.1-alpha,EAODS-v17.1.1-alpha-requirements-traceability-matrix-governance-raci-enterprise.md,"EAODS v17.1 — Enterprise Cyber Defense & Digital Resilience Framework: Domain 03 Enterprise Reference Architecture, Traceability Matrix & Implementation Blueprint (Part II — Requirements Traceability Matrix, Governance RACI & Enterprise Implementation Roadmap)",63259,63663,5d4d1e0913c5e634c7afc58caabcd44d2daac529dcdf43a4693109a09573477a
17.1,17.1.2-alpha,EAODS-v17.1.2-alpha-enterprise-reference-repository-canonical-schema-library-arc.md,"EAODS v17.1 — Enterprise Cyber Defense & Digital Resilience Framework: Domain 03 Enterprise Reference Architecture, Traceability Matrix & Implementation Blueprint (Part III — Enterprise Reference Repository, Canonical Schema Library & Architecture Decision Record Catalog)",63664,64130,0f7741b63fc924a11cb0b1a9f3560c47c94c9818bc8de53465f38681c6dcecd2
17.2,17.2.0-alpha,EAODS-v17.2.0-alpha-enterprise-domain-03-operations-manual-executive-playbook-vo.md,"EAODS v17.2 — Enterprise Domain 03 Operations Manual & Executive Playbook, Volume 1: Master Cyber Operations Manual",64131,64509,70247070de0d409d168e620a6ef9b99c47735f49fba24a8c24fa115efe59cecb
17.2,17.2.1-alpha,EAODS-v17.2.1-alpha-enterprise-domain-03-operations-manual-executive-playbook-vo.md,"EAODS v17.2 — Enterprise Domain 03 Operations Manual & Executive Playbook, Volume 2: Standard Operating Procedures (SOP) Library",64510,64936,5efd09a3bdbf32656529eca9dfe9c90f71c45b041fcc72a805a28c6503fb41ad
17.2,17.2.2-alpha,EAODS-v17.2.2-alpha-enterprise-domain-03-operations-manual-executive-playbook-vo.md,"EAODS v17.2 — Enterprise Domain 03 Operations Manual & Executive Playbook, Volume 3: Incident Response Runbook & Cyber Crisis Response Library",64937,65379,31670b84aa690e86d71d4c06842222f4393a2a354809d5396fef268e369cc287
17.2,17.2.3-alpha,EAODS-v17.2.3-alpha-enterprise-domain-03-operations-manual-executive-playbook-vo.md,"EAODS v17.2 — Enterprise Domain 03 Operations Manual & Executive Playbook, Volume 4: Threat Hunting Playbook Library & Detection Engineering Operations Guide",65380,65810,7e44fbdd6749b48befeab14799c3c3ad2322902eb06ddfecb0f346f25bbbe738
17.2,17.2.4-alpha,EAODS-v17.2.4-alpha-enterprise-domain-03-operations-manual-executive-playbook-vo.md,"EAODS v17.2 — Enterprise Domain 03 Operations Manual & Executive Playbook, Volume 5: Security Validation, Purple Team Operations & Adversary Emulation Playbook Library",65815,66223,e109b5700f724433ac95917fe512dd36d8531ed3ed312048d76d65063c922822
17.2,17.2.5-alpha,EAODS-v17.2.5-alpha-enterprise-domain-03-operations-manual-executive-playbook-vo.md,"EAODS v17.2 — Enterprise Domain 03 Operations Manual & Executive Playbook, Volume 6: Enterprise Executive Cyber Crisis Management & Board Decision Playbook",66224,66644,d1d3905f501aa64e55e8e1026fc6a7898c66f042419608adae12be210405752b
17.2,17.2.6-alpha,EAODS-v17.2.6-alpha-enterprise-domain-03-operations-manual-executive-playbook-vo.md,"EAODS v17.2 — Enterprise Domain 03 Operations Manual & Executive Playbook, Volume 7: Enterprise Workforce Competency, Role Qualification & Cyber Operations Certification Manual",66645,67035,f6615d3de062cca49268cd27080f527cf2912435d11062378a9dec1921b0d274
17.2,17.2.7-alpha,EAODS-v17.2.7-alpha-enterprise-domain-03-operations-manual-executive-playbook-vo.md,"EAODS v17.2 — Enterprise Domain 03 Operations Manual & Executive Playbook, Volume 8: Enterprise Operational Metrics, Service Level Governance & Performance Management Manual",67036,67442,68c518777eec79196f4fe3d73f53c85813c8c5ef954d7787bf172551410e0f59
17.2,17.2.8-alpha,EAODS-v17.2.8-alpha-enterprise-domain-03-operations-manual-executive-playbook-vo.md,"EAODS v17.2 — Enterprise Domain 03 Operations Manual & Executive Playbook, Volume 9: Enterprise Operational Audit, Continuous Assurance & Compliance Validation Manual",67443,67829,056f5808ac32fefdfee9e318d64c76ede6eb98215f3414927fb0228052e60bb2
17.2,17.2.9-alpha,EAODS-v17.2.9-alpha-enterprise-domain-03-operations-manual-executive-playbook-vo.md,"EAODS v17.2 — Enterprise Domain 03 Operations Manual & Executive Playbook, Volume 10: Enterprise Knowledge Management, Lessons Learned & Operational Intelligence Manual",67830,68239,68be61d7fba021ad0332b872401ff9117ee6bf8b918257f3542e5ad252c84885
17.2,17.2.10-alpha,EAODS-v17.2.10-alpha-enterprise-domain-03-operations-manual-executive-playbook-vo.md,"EAODS v17.2 — Enterprise Domain 03 Operations Manual & Executive Playbook, Volume 11: Enterprise Automation, Orchestration & Autonomous Operations Governance Manual",68240,68573,4ea2992dfb2abe240e7f461691e2433e17f9647ffbe53c042e2c92d5586da027
17.2,17.2.11-alpha,EAODS-v17.2.11-alpha-enterprise-domain-03-operations-manual-executive-playbook-vo.md,"EAODS v17.2 — Enterprise Domain 03 Operations Manual & Executive Playbook, Volume 12: Enterprise Cyber Operations Laboratory, Exercise Management & Readiness Program Manual",68574,68935,2bb18fdc8d9cc9ba07ce742491a41cb6f82f3e449854bf812967bfb6cd8608f4
17.2,17.2.12-alpha,EAODS-v17.2.12-alpha-enterprise-domain-03-operations-manual-executive-playbook-vo.md,"EAODS v17.2 — Enterprise Domain 03 Operations Manual & Executive Playbook, Volume 13: Enterprise Cyber Program Management, Portfolio Governance & Strategic Delivery Manual",68936,69345,8d3efa92c72800ef88646f668b3dd455e887011d7f485d3deedc20a14643cd5d
17.2,17.2.13-alpha,EAODS-v17.2.13-alpha-enterprise-domain-03-operations-manual-executive-playbook-vo.md,"EAODS v17.2 — Enterprise Domain 03 Operations Manual & Executive Playbook, Volume 14: Domain 03 Operational Reference Library, Enterprise Templates & Governance Toolkit",69346,69745,f3e33d65d22b1d8eef528ff5e988e18a575c5e8b785753a2445d6b55c13ba11d
