range,unit,version,title,source_file,start_line,end_line,bytes,sha256,identical_duplicate_of,disposition
v4.17.1-v4.28,EAODS-v4.26-alpha-enterprise-governance-operating-model-and-decision-authority-framework.md,v4.26-alpha,Enterprise Governance Operating Model & Decision Authority Framework,EOADS-v17.1-v28.md,4397,4786,9614,1ec513e7868eef152980534afbbc72958030a09fbb484bc80c5c72234abec788,,registered unit
v4.17.1-v4.28,EAODS-v4.27-alpha-enterprise-cybersecurity-reference-architecture-and-capability-model.md,v4.27-alpha,Enterprise Cybersecurity Reference Architecture & Capability Model,EOADS-v17.1-v28.md,4787,5252,10435,196bc0a42646c9d4715a22b204b53d862e308557d6aa6ab4edb830618a0e499b,,registered unit
v4.17.1-v4.28,EAODS-v4.27-alpha-enterprise-cybersecurity-reference-architecture-and-capability-model--variant-2.md,v4.27-alpha,Enterprise Cybersecurity Reference Architecture & Capability Model,EOADS-v17.1-v28.md,5253,5718,10435,196bc0a42646c9d4715a22b204b53d862e308557d6aa6ab4edb830618a0e499b,v4.17.1-v4.28/EAODS-v4.27-alpha-enterprise-cybersecurity-reference-architecture-and-capability-model.md,byte-identical retransmission; not duplicated in unit set
v4.17.1-v4.28,EAODS-v4.28-alpha-enterprise-security-service-catalog-and-capability-ownership-standard.md,v4.28-alpha,Enterprise Security Service Catalog & Capability Ownership Standard,EOADS-v17.1-v28.md,5719,6216,9595,8edae3cd25452c6091bccd1c8b2b83d78f33d4aa5ea6b3b17b696ca742dcf840,,registered unit
v5.0-v6.6,EAODS-v5.0-alpha-enterprise-knowledge-graph-and-governance-ontology-standard.md,v5.0-alpha,Enterprise Knowledge Graph & Governance Ontology Standard,EAODS-v5-alpha-v6.7-alpha.md,5,543,10119,146d34874a8d249fa7ed9840b9bedee00752f332937359ff41407e76687f1af9,,registered unit
v5.0-v6.6,EAODS-v5.1-alpha-enterprise-ai-agent-operating-framework-and-multi-agent-coordination-standard.md,v5.1-alpha,Enterprise AI Agent Operating Framework & Multi-Agent Coordination Standard,EAODS-v5-alpha-v6.7-alpha.md,544,1039,10406,f649b288fe5b18c9bf330628f4aa829177d0305b80a42b68728af4053d96cd74,,registered unit
v5.0-v6.6,EAODS-v5.2-alpha-enterprise-policy-decision-point-pdp-policy-enforcement-point-pep-and-authorization-architecture-standard.md,v5.2-alpha,"Enterprise Policy Decision Point (PDP), Policy Enforcement Point (PEP) & Authorization Architecture Standard",EAODS-v5-alpha-v6.7-alpha.md,1040,1570,10800,a187fd01e6a0240c6cf95202c37037ba082e4d54d92c881500bcec6ff049a6d3,,registered unit
v5.0-v6.6,EAODS-v6.0-alpha-enterprise-control-as-code-policy-as-code-and-governance-automation-framework.md,v6.0-alpha,"Enterprise Control-as-Code, Policy-as-Code & Governance Automation Framework",EAODS-v5-alpha-v6.7-alpha.md,1571,2018,9532,87f7743e8afa2c70708d48c064430058081154d531a7059059d95650eb8019cb,,registered unit
v5.0-v6.6,EAODS-v6.1-alpha-enterprise-evidence-as-code-continuous-assurance-and-audit-automation-standard.md,v6.1-alpha,"Enterprise Evidence-as-Code, Continuous Assurance & Audit Automation Standard",EAODS-v5-alpha-v6.7-alpha.md,2019,2436,9761,6c839b9a772565cf6ec1be9e2812d91a1b1bcc18b854a210c858d8cd47b443f7,,registered unit
v5.0-v6.6,EAODS-v6.2-alpha-enterprise-cybersecurity-data-architecture-telemetry-and-security-data-fabric-standard.md,v6.2-alpha,"Enterprise Cybersecurity Data Architecture, Telemetry & Security Data Fabric Standard",EAODS-v5-alpha-v6.7-alpha.md,2437,2936,10515,dccfb62843837257a65126eef00b8b1eaa5a486d4f4c82dbba1c7eb43d10919c,,registered unit
v5.0-v6.6,EAODS-v6.3-alpha-enterprise-threat-intelligence-exposure-intelligence-and-attack-surface-management-architecture-standard.md,v6.3-alpha,"Enterprise Threat Intelligence, Exposure Intelligence & Attack Surface Management Architecture Standard",EAODS-v5-alpha-v6.7-alpha.md,2937,3336,9573,027922d74486715765c25dae68d65e3c176b9102ff8823cee4914a87923581f2,,registered unit
v5.0-v6.6,EAODS-v6.3-alpha-enterprise-threat-intelligence-exposure-intelligence-and-attack-surface-management-architecture-standard--variant-2.md,v6.3-alpha,"Enterprise Threat Intelligence, Exposure Intelligence & Attack Surface Management Architecture Standard",EAODS-v5-alpha-v6.7-alpha.md,3337,3737,9574,ce405b399e56265714a0142cb19bec08b6ed3930e3e68ce76bcf557c153fc4d3,,whitespace-only retransmission of EAODS-v6.3-alpha-enterprise-threat-intelligence-exposure-intelligence-and-attack-surface-management-architecture-standard.md; not duplicated in unit set
v5.0-v6.6,EAODS-v6.4-alpha-enterprise-security-detection-engineering-analytics-and-adversary-emulation-architecture-standard.md,v6.4-alpha,"Enterprise Security Detection Engineering, Analytics & Adversary Emulation Architecture Standard",EAODS-v5-alpha-v6.7-alpha.md,3738,4153,10001,fd92f15be6f3689f2b3292b8de41af6a0dfca067dcd02d26647c0baef9ff6780,,registered unit
v5.0-v6.6,EAODS-v6.5-alpha-enterprise-security-response-automation-orchestration-and-playbook-architecture-standard.md,v6.5-alpha,"Enterprise Security Response Automation, Orchestration & Playbook Architecture Standard",EAODS-v5-alpha-v6.7-alpha.md,4154,4583,9835,2fd117e34da823f1f1945ca6ad9e2627b1a13169c9ee1b6dd936597c8bc3a6ea,,registered unit
v5.0-v6.6,EAODS-v6.4-alpha-enterprise-security-detection-engineering-analytics-and-adversary-emulation-architecture-standard--variant-2.md,v6.4-alpha,"Enterprise Security Detection Engineering, Analytics & Adversary Emulation Architecture Standard",EAODS-v5-alpha-v6.7-alpha.md,4584,4999,10001,fd92f15be6f3689f2b3292b8de41af6a0dfca067dcd02d26647c0baef9ff6780,v5.0-v6.6/EAODS-v6.4-alpha-enterprise-security-detection-engineering-analytics-and-adversary-emulation-architecture-standard.md,byte-identical retransmission; not duplicated in unit set
v5.0-v6.6,EAODS-v6.5-alpha-enterprise-security-response-automation-orchestration-and-playbook-architecture-standard--variant-2.md,v6.5-alpha,"Enterprise Security Response Automation, Orchestration & Playbook Architecture Standard",EAODS-v5-alpha-v6.7-alpha.md,5000,5426,9832,9d4795992a4c66be1ffd8e3641ff58ed9a6614deca02bb441a33f27bbc327fc0,,whitespace-only retransmission of EAODS-v6.5-alpha-enterprise-security-response-automation-orchestration-and-playbook-architecture-standard.md; not duplicated in unit set
v5.0-v6.6,EAODS-v6.6-alpha-enterprise-incident-command-crisis-management-and-cyber-recovery-governance-standard.md,v6.6-alpha,"Enterprise Incident Command, Crisis Management & Cyber Recovery Governance Standard",EAODS-v5-alpha-v6.7-alpha.md,5427,5875,10158,2483c078c1f0ef1b125f24ac0d887bcfd7f6e6ace1442accb4eecef3f86bc3d9,,registered unit
v7.0-v8.3,EAODS-v7.0-alpha-enterprise-ai-security-operations-reference-architecture-and-operating-model.md,v7.0-alpha,Enterprise AI Security Operations Reference Architecture & Operating Model,EAODS-v7-alpha-v8.5-alpha.md,5,440,10779,4ef5341cf9434e48db7c5a97990cbb74a7958c8da8ccfc46ccac8e24ac4dddf2,,registered unit
v7.0-v8.3,EAODS-v7.0-alpha-enterprise-ai-security-operations-reference-architecture-and-operating-model--variant-2.md,v7.0-alpha,Enterprise AI Security Operations Reference Architecture & Operating Model,EAODS-v7-alpha-v8.5-alpha.md,441,876,10779,4ef5341cf9434e48db7c5a97990cbb74a7958c8da8ccfc46ccac8e24ac4dddf2,v7.0-v8.3/EAODS-v7.0-alpha-enterprise-ai-security-operations-reference-architecture-and-operating-model.md,byte-identical retransmission; not duplicated in unit set
v7.0-v8.3,EAODS-v7.1-alpha-enterprise-ai-security-reference-implementation-and-technology-architecture-standard.md,v7.1-alpha,Enterprise AI Security Reference Implementation & Technology Architecture Standard,EAODS-v7-alpha-v8.5-alpha.md,877,1304,9893,b6fd1fcff4e5c39559fa489017a199fcada9dc1758fb7c0f17fed9f687525637,,registered unit
v7.0-v8.3,EAODS-v7.2-alpha-enterprise-security-reference-data-model-canonical-api-and-integration-contract-standard.md,v7.2-alpha,"Enterprise Security Reference Data Model, Canonical API & Integration Contract Standard",EAODS-v7-alpha-v8.5-alpha.md,1305,1719,9306,eece5e9791d13a19aa19d9e1f197e96aba1f9cb00c49173884aa6c5b41f074ec,,registered unit
v7.0-v8.3,EAODS-v7.3-alpha-enterprise-ai-platform-engineering-runtime-governance-and-secure-operations-standard.md,v7.3-alpha,"Enterprise AI Platform Engineering, Runtime Governance & Secure Operations Standard",EAODS-v7-alpha-v8.5-alpha.md,1720,2213,10374,b129713c5708354b8a4550eb58e370c8f22fc8916f7ab77e2d8357b0e49dbfc0,,registered unit
v7.0-v8.3,EAODS-v7.4-alpha-enterprise-ai-model-governance-validation-evaluation-and-risk-management-standard.md,v7.4-alpha,"Enterprise AI Model Governance, Validation, Evaluation & Risk Management Standard",EAODS-v7-alpha-v8.5-alpha.md,2214,2618,9140,422ecf879e4e954f0ecc0dba01c397a8d3a5c47077380fbb685e81a48d585395,,registered unit
v7.0-v8.3,EAODS-v7.5-alpha-enterprise-ai-trust-safety-human-oversight-and-responsible-ai-governance-standard.md,v7.5-alpha,"Enterprise AI Trust, Safety, Human Oversight & Responsible AI Governance Standard",EAODS-v7-alpha-v8.5-alpha.md,2619,3042,10141,0736e8936ba87b309dca81784ba7706819e291f48f71559d0095566983f2a003,,registered unit
v7.0-v8.3,EAODS-v7.6-alpha-enterprise-ai-agent-identity-credential-capability-and-trust-fabric-standard.md,v7.6-alpha,"Enterprise AI Agent Identity, Credential, Capability & Trust Fabric Standard",EAODS-v7-alpha-v8.5-alpha.md,3043,3471,10444,a54d995a3c5e2a76697b0d94fbe7fbfb0fe41063faf33be179cba26d62a5632d,,registered unit
v7.0-v8.3,EAODS-v7.7-alpha-enterprise-ai-software-supply-chain-security-provenance-and-artifact-integrity-standard.md,v7.7-alpha,"Enterprise AI Software Supply Chain Security, Provenance & Artifact Integrity Standard",EAODS-v7-alpha-v8.5-alpha.md,3472,3908,10683,cb1e9cb3de7c80c188f5476792e83b7baf515f529e5bbb30f90e8313a3eabdc1,,registered unit
v7.0-v8.3,EAODS-v7.8-alpha-enterprise-ai-data-governance-training-data-lineage-and-retrieval-assurance-standard.md,v7.8-alpha,"Enterprise AI Data Governance, Training Data Lineage & Retrieval Assurance Standard",EAODS-v7-alpha-v8.5-alpha.md,3909,4325,10003,47e56b34362478adbb78feefab683b95138332b4589ee3dfed14f5e9167e2d3b,,registered unit
v7.0-v8.3,EAODS-v7.9-alpha-enterprise-ai-evaluation-benchmarking-red-teaming-and-assurance-laboratory-standard.md,v7.9-alpha,"Enterprise AI Evaluation, Benchmarking, Red Teaming & Assurance Laboratory Standard",EAODS-v7-alpha-v8.5-alpha.md,4326,4730,9859,88cde3b0bb5cfe738355edb9ff8f814088a820536462c32ad41f57660de49a8c,,registered unit
v7.0-v8.3,EAODS-v8.0-alpha-enterprise-ai-governance-reference-architecture-and-executive-control-framework.md,v8.0-alpha,Enterprise AI Governance Reference Architecture & Executive Control Framework,EAODS-v7-alpha-v8.5-alpha.md,4731,5136,10133,449e89956f9748e1c27d02f1679311b2f74af5fb88edd007bd5154e87e89bba2,,registered unit
v7.0-v8.3,EAODS-v8.0-alpha-enterprise-ai-governance-reference-architecture-and-executive-control-framework--variant-2.md,v8.0-alpha,Enterprise AI Governance Reference Architecture & Executive Control Framework,EAODS-v7-alpha-v8.5-alpha.md,5137,5560,11228,e26c4e00c6eecb8c3130df67a8b59f6717d561a97ebcf76cbf46c79663f69d54,,registered unit; more complete transmission (adds Human Review Gate section)
v7.0-v8.3,EAODS-v8.1-alpha-enterprise-eaods-control-catalog-crosswalk-and-traceability-matrix-standard.md,v8.1-alpha,"Enterprise EAODS Control Catalog, Crosswalk & Traceability Matrix Standard",EAODS-v7-alpha-v8.5-alpha.md,5561,6000,10393,f9dc4866cf647148644d9813420eb2536de5f355eee5636b9c94c7b013d1d3cd,,registered unit
v7.0-v8.3,EAODS-v7.8-alpha-enterprise-ai-data-governance-training-data-lineage-and-retrieval-assurance-standard--variant-2.md,v7.8-alpha,"Enterprise AI Data Governance, Training Data Lineage & Retrieval Assurance Standard",EAODS-v7-alpha-v8.5-alpha.md,6001,6422,10008,6d4a9f0e81b6a7c8ba1493637ab909526b9534cf85486877dcca1207ecb1f3c2,,whitespace-only retransmission of EAODS-v7.8-alpha-enterprise-ai-data-governance-training-data-lineage-and-retrieval-assurance-standard.md; not duplicated in unit set
v7.0-v8.3,EAODS-v8.3-alpha-enterprise-reference-operating-procedures-rops-standard-operating-procedures-sops-and-operational-execution-framework.md,v8.3-alpha,"Enterprise Reference Operating Procedures (ROPs), Standard Operating Procedures (SOPs) & Operational Execution Framework",EAODS-v7-alpha-v8.5-alpha.md,6423,6841,9971,acbea722ba8f563e7e7a1008e3302132e33f1b287c9eac9f7a86003176e2aaac,,registered unit
v7.0-v8.3,EAODS-v7.8-alpha-enterprise-ai-data-governance-training-data-lineage-and-retrieval-assurance-standard--variant-3.md,v7.8-alpha,"Enterprise AI Data Governance, Training Data Lineage & Retrieval Assurance Standard",EAODS-v7-alpha-v8.5-alpha.md,6842,7264,10009,b3085556f9d11c6a5f79b785f3c811956414ce18d18227e0e8baed1f3701eb7d,,whitespace-only retransmission of EAODS-v7.8-alpha-enterprise-ai-data-governance-training-data-lineage-and-retrieval-assurance-standard.md; not duplicated in unit set
v7.0-v8.3,EAODS-v8.3-alpha-enterprise-reference-operating-procedures-rops-standard-operating-procedures-sops-and-operational-execution-framework--variant-2.md,v8.3-alpha,"Enterprise Reference Operating Procedures (ROPs), Standard Operating Procedures (SOPs) & Operational Execution Framework",EAODS-v7-alpha-v8.5-alpha.md,7265,7678,9966,0b40ba80eba30b1fdeec590aff429112145b506f4153a2036e3a9de7b92757d0,,whitespace-only retransmission of EAODS-v8.3-alpha-enterprise-reference-operating-procedures-rops-standard-operating-procedures-sops-and-operational-execution-framework.md; not duplicated in unit set
